Date,Predicted Comment Count
2022-02-26,207.72860717773438
2022-02-27,225.8818359375
2022-02-28,226.2490234375
2022-03-01,222.4170684814453
2022-03-02,195.15048217773438
2022-03-03,193.0428924560547
2022-03-04,179.7974853515625
2022-03-05,165.97340393066406
2022-03-06,144.28201293945312
2022-03-07,198.67709350585938
2022-03-08,199.57249450683594
2022-03-09,153.75408935546875
2022-03-10,140.1451416015625
2022-03-11,137.23158264160156
2022-03-12,144.57151794433594
2022-03-13,171.63882446289062
2022-03-14,207.37451171875
2022-03-15,186.3231201171875
2022-03-16,163.38670349121094
2022-03-17,161.16551208496094
2022-03-18,172.030029296875
2022-03-19,151.7013397216797
2022-03-20,183.72950744628906
2022-03-21,185.43276977539062
2022-03-22,189.35842895507812
2022-03-23,145.4646453857422
2022-03-24,141.2489776611328
2022-03-25,133.50442504882812
2022-03-26,137.5051727294922
2022-03-27,160.13644409179688
2022-03-28,175.2267303466797
2022-03-29,181.26553344726562
2022-03-30,141.78756713867188
2022-03-31,141.8845672607422
2022-04-01,143.44810485839844
2022-04-02,145.8013153076172
2022-04-03,150.0732879638672
2022-04-04,170.15151977539062
2022-04-05,172.0932159423828
2022-04-06,138.76968383789062
2022-04-07,140.23631286621094
2022-04-08,135.8037872314453
2022-04-09,125.73158264160156
2022-04-10,139.4083709716797
2022-04-11,172.21969604492188
2022-04-12,188.98883056640625
2022-04-13,145.66009521484375
2022-04-14,151.8031768798828
2022-04-15,144.71847534179688
2022-04-16,156.46060180664062
2022-04-17,170.28382873535156
2022-04-18,190.1680450439453
2022-04-19,169.5019073486328
2022-04-20,187.12403869628906
2022-04-21,151.81265258789062
2022-04-22,134.9892120361328
2022-04-23,133.3889617919922
2022-04-24,146.29498291015625
2022-04-25,167.98452758789062
2022-04-26,194.76708984375
2022-04-27,137.3276824951172
2022-04-28,130.11959838867188
2022-04-29,112.76361083984375
2022-04-30,120.57857513427734
2022-05-01,136.1865997314453
2022-05-02,170.74542236328125
2022-05-03,181.46942138671875
2022-05-04,144.74644470214844
2022-05-05,142.76141357421875
2022-05-06,146.3168182373047
2022-05-07,132.0576171875
2022-05-08,148.2805633544922
2022-05-09,186.84457397460938
2022-05-10,201.61843872070312
2022-05-11,149.46739196777344
2022-05-12,122.3529281616211
2022-05-13,135.9498291015625
2022-05-14,130.68585205078125
2022-05-15,137.3839569091797
2022-05-16,193.4319305419922
2022-05-17,211.39903259277344
2022-05-18,169.94837951660156
2022-05-19,155.44529724121094
2022-05-20,158.39459228515625
2022-05-21,132.6378631591797
2022-05-22,152.08824157714844
2022-05-23,186.42478942871094
2022-05-24,174.09434509277344
2022-05-25,153.40908813476562
2022-05-26,154.72193908691406
2022-05-27,137.96275329589844
2022-05-28,139.5206298828125
2022-05-29,179.8769989013672
2022-05-30,198.8949737548828
2022-05-31,180.7903594970703
2022-06-01,186.7832489013672
2022-06-02,178.48004150390625
2022-06-03,164.47991943359375
2022-06-04,161.4458465576172
2022-06-05,213.30796813964844
2022-06-06,203.38575744628906
2022-06-07,195.0397491455078
2022-06-08,185.81719970703125
2022-06-09,159.8321990966797
2022-06-10,176.36517333984375
2022-06-11,157.4542236328125
2022-06-12,172.10125732421875
2022-06-13,176.71240234375
2022-06-14,183.9296112060547
2022-06-15,176.52146911621094
2022-06-16,168.84788513183594
2022-06-17,154.31741333007812
2022-06-18,168.52566528320312
2022-06-19,181.2024383544922
2022-06-20,170.08843994140625
2022-06-21,182.139404296875
2022-06-22,196.38070678710938
2022-06-23,163.1385955810547
2022-06-24,168.29989624023438
2022-06-25,168.89828491210938
2022-06-26,215.08535766601562
2022-06-27,223.50271606445312
2022-06-28,239.0218963623047
2022-06-29,234.09115600585938
2022-06-30,242.43930053710938
2022-07-01,234.92056274414062
2022-07-02,226.39175415039062
2022-07-03,235.22958374023438
2022-07-04,246.3402862548828
2022-07-05,224.4915008544922
2022-07-06,235.0138702392578
2022-07-07,227.25143432617188
2022-07-08,242.00564575195312
2022-07-09,224.75425720214844
2022-07-10,213.72914123535156
2022-07-11,216.88775634765625
2022-07-12,188.33177185058594
2022-07-13,199.63034057617188
2022-07-14,183.59446716308594
2022-07-15,190.9557647705078
2022-07-16,176.65621948242188
2022-07-17,174.4130096435547
2022-07-18,181.36549377441406
2022-07-19,196.75677490234375
2022-07-20,196.40017700195312
2022-07-21,196.8236083984375
2022-07-22,174.18905639648438
2022-07-23,195.618408203125
2022-07-24,189.07859802246094
2022-07-25,171.91256713867188
2022-07-26,192.79403686523438
2022-07-27,203.2233123779297
2022-07-28,183.55657958984375
2022-07-29,185.067626953125
2022-07-30,198.22132873535156
2022-07-31,248.39755249023438
2022-08-01,205.5306854248047
2022-08-02,188.96725463867188
2022-08-03,213.07427978515625
2022-08-04,189.57586669921875
2022-08-05,191.83335876464844
2022-08-06,186.16310119628906
2022-08-07,170.8270721435547
2022-08-08,177.9737091064453
2022-08-09,184.141845703125
2022-08-10,185.25396728515625
2022-08-11,197.20751953125
2022-08-12,198.8296661376953
2022-08-13,167.7025604248047
2022-08-14,169.90188598632812
2022-08-15,180.0191650390625
2022-08-16,186.9621124267578
2022-08-17,162.4252166748047
2022-08-18,171.02415466308594
2022-08-19,176.4460906982422
2022-08-20,179.32122802734375
2022-08-21,158.01458740234375
2022-08-22,176.8028564453125
2022-08-23,196.07351684570312
2022-08-24,173.5078125
2022-08-25,145.30908203125
2022-08-26,144.92605590820312
2022-08-27,157.9390869140625
2022-08-28,152.80003356933594
2022-08-29,163.27981567382812
2022-08-30,164.67111206054688
